PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
44,1.236,150,6,160,2,1.5
44,1.237,150,6,160,2,1.5
44,1.238,150,6,160,2,1.5
44,1.239,150,6,160,2,1.5
44,1.24,150,6,160,2,1.5
44,1.241,150,6,160,2,1.5
44,1.242,150,6,160,2,1.5
44,1.243,150,6,160,2,1.5
44,1.244,150,6,160,2,1.5
44,1.245,150,6,160,2,1.5
44,1.246,150,6,160,2,1.5
44,1.247,150,6,160,2,1.5
44,1.248,150,6,160,2,1.5
44,1.249,150,6,160,2,1.5
44,1.25,150,6,160,2,1.5
44,1.251,150,6,160,2,1.5
44,1.252,150,6,160,2,1.5
44,1.253,150,6,160,2,1.5
44,1.254,150,6,160,2,1.5
44,1.255,150,6,160,2,1.5
44,1.256,150,6,160,2,1.5
44,1.257,150,6,160,2,1.5
44,1.258,150,6,160,2,1.5
44,1.259,150,6,160,2,1.5
44,1.26,150,6,160,2,1.5
44,1.261,150,6,160,2,1.5
44,1.262,150,6,160,2,1.5
44,1.263,150,6,160,2,1.5
44,1.264,150,6,160,2,1.5
44,1.265,150,6,160,2,1.5
44,1.266,150,6,160,2,1.5
44,1.267,150,6,160,2,1.5
44,1.268,150,6,160,2,1.5
44,1.269,150,6,160,2,1.5
44,1.27,150,6,160,2,1.5
44,1.271,150,6,160,2,1.5
44,1.272,150,6,160,2,1.5
44,1.273,150,6,160,2,1.5
44,1.274,150,6,160,2,1.5
44,1.275,150,6,160,2,1.5
44,1.276,150,6,160,2,1.5
44,1.277,150,6,160,2,1.5
44,1.278,150,6,160,2,1.5
44,1.279,150,6,160,2,1.5
44,1.28,150,6,160,2,1.5
44,1.281,150,6,160,2,1.5
44,1.282,150,6,160,2,1.5
44,1.283,150,6,160,2,1.5
44,1.284,150,6,160,2,1.5
44,1.285,150,6,160,2,1.5
44,1.286,150,6,160,2,1.5
44,1.287,150,6,160,2,1.5
44,1.288,150,6,160,2,1.5
44,1.289,150,6,160,2,1.5
44,1.29,150,6,160,2,1.5
44,1.291,150,6,160,2,1.5
44,1.292,150,6,160,2,1.5
44,1.293,150,6,160,2,1.5
44,1.294,150,6,160,2,1.5
44,1.295,150,6,160,2,1.5
44,1.296,150,6,160,2,1.5
44,1.297,150,6,160,2,1.5
44,1.298,150,6,160,2,1.5
44,1.299,150,6,160,2,1.5
44,1.3,150,6,160,2,1.5
44,1.301,150,6,160,2,1.5
44,1.302,150,6,160,2,1.5
44,1.303,150,6,160,2,1.5
44,1.304,150,6,160,2,1.5
44,1.305,150,6,160,2,1.5
44,1.306,150,6,160,2,1.5
44,1.307,150,6,160,2,1.5
44,1.308,150,6,160,2,1.5
44,1.309,150,6,160,2,1.5
44,1.31,150,6,160,2,1.5
44,1.311,150,6,160,2,1.5
44,1.312,150,6,160,2,1.5
44,1.313,150,6,160,2,1.5
44,1.314,150,6,160,2,1.5
44,1.315,150,6,160,2,1.5
44,1.316,150,6,160,2,1.5
44,1.317,150,6,160,2,1.5
44,1.318,150,6,160,2,1.5
44,1.319,150,6,160,2,1.5
44,1.32,150,6,160,2,1.5
44,1.321,150,6,160,2,1.5
44,1.322,150,6,160,2,1.5
44,1.323,150,6,160,2,1.5
44,1.324,150,6,160,2,1.5
44,1.325,150,6,160,2,1.5
44,1.326,150,6,160,2,1.5
44,1.327,150,6,160,2,1.5
44,1.328,150,6,160,2,1.5
44,1.329,150,6,160,2,1.5
44,1.33,150,6,160,2,1.5
44,1.331,150,6,160,2,1.5
44,1.332,150,6,160,2,1.5
44,1.333,150,6,160,2,1.5
44,1.334,150,6,160,2,1.5
44,1.335,150,6,160,2,1.5
44,1.336,150,6,160,2,1.5
44,1.337,150,6,160,2,1.5
44,1.338,150,6,160,2,1.5
44,1.339,150,6,160,2,1.5
44,1.34,150,6,160,2,1.5
44,1.341,150,6,160,2,1.5
44,1.342,150,6,160,2,1.5
44,1.343,150,6,160,2,1.5
44,1.344,150,6,160,2,1.5
44,1.345,150,6,160,2,1.5
44,1.346,150,6,160,2,1.5
44,1.347,150,6,160,2,1.5
44,1.348,150,6,160,2,1.5
44,1.349,150,6,160,2,1.5
44,1.35,150,6,160,2,1.5
44,1.351,150,6,160,2,1.5
44,1.352,150,6,160,2,1.5
44,1.353,150,6,160,2,1.5
44,1.354,150,6,160,2,1.5
44,1.355,150,6,160,2,1.5
44,1.356,150,6,160,2,1.5
44,1.357,150,6,160,2,1.5
44,1.358,150,6,160,2,1.5
44,1.359,150,6,160,2,1.5
44,1.36,150,6,160,2,1.5
44,1.361,150,6,160,2,1.5
44,1.362,150,6,160,2,1.5
44,1.363,150,6,160,2,1.5
44,1.364,150,6,160,2,1.5
44,1.365,150,6,160,2,1.5
44,1.366,150,6,160,2,1.5
44,1.367,150,6,160,2,1.5
