MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
11,OfdmRate54Mbps,107.613,3,20,3200,30,4
0,OfdmRate6Mbps,12.9098,3,40,3200,30,4
1,OfdmRate12Mbps,26.061,3,40,3200,30,4
2,OfdmRate18Mbps,39.0407,3,40,3200,30,4
3,OfdmRate24Mbps,52.281,3,40,3200,30,4
4,OfdmRate36Mbps,78.475,3,40,3200,30,4
5,OfdmRate48Mbps,103.54,3,40,3200,30,4
6,OfdmRate54Mbps,115.885,3,40,3200,30,4
7,OfdmRate54Mbps,128.202,3,40,3200,30,4
8,OfdmRate54Mbps,152.146,3,40,3200,30,4
9,OfdmRate54Mbps,167.352,3,40,3200,30,4
10,OfdmRate54Mbps,187.079,3,40,3200,30,4
11,OfdmRate54Mbps,204.878,3,40,3200,30,4
0,OfdmRate6Mbps,27.0642,3,80,3200,30,4
1,OfdmRate12Mbps,54.4447,3,80,3200,30,4
2,OfdmRate18Mbps,81.707,3,80,3200,30,4
3,OfdmRate24Mbps,108.385,3,80,3200,30,4
4,OfdmRate36Mbps,158.545,3,80,3200,30,4
5,OfdmRate48Mbps,206.283,3,80,3200,30,4
6,OfdmRate54Mbps,229.878,3,80,3200,30,4
7,OfdmRate54Mbps,253.029,3,80,3200,30,4
8,OfdmRate54Mbps,295.139,3,80,3200,30,4
9,OfdmRate54Mbps,323.648,3,80,3200,30,4
10,OfdmRate54Mbps,358.273,3,80,3200,30,4
11,OfdmRate54Mbps,390.776,3,80,3200,30,4
0,OfdmRate6Mbps,54.0588,3,160,3200,30,4
1,OfdmRate12Mbps,107.906,3,160,3200,30,4
2,OfdmRate18Mbps,157.511,3,160,3200,30,4
3,OfdmRate24Mbps,206.283,3,160,3200,30,4
4,OfdmRate36Mbps,295.139,3,160,3200,30,4
5,OfdmRate48Mbps,376.143,3,160,3200,30,4
6,OfdmRate54Mbps,417.859,3,160,3200,30,4
7,OfdmRate54Mbps,455.753,3,160,3200,30,4
8,OfdmRate54Mbps,518.455,3,160,3200,30,4
9,OfdmRate54Mbps,567.231,3,160,3200,30,4
10,OfdmRate54Mbps,613.399,3,160,3200,30,4
11,OfdmRate54Mbps,667.747,3,160,3200,30,4
