MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),GI(ns),SimulationTime(s),Seed
3,OfdmRate24Mbps,234.732,3,160,800,30,10
4,OfdmRate36Mbps,331.147,3,160,800,30,10
5,OfdmRate48Mbps,416.748,3,160,800,30,10
6,OfdmRate54Mbps,459.971,3,160,800,30,10
7,OfdmRate54Mbps,498.778,3,160,800,30,10
8,OfdmRate54Mbps,561.999,3,160,800,30,10
9,OfdmRate54Mbps,610.357,3,160,800,30,10
10,OfdmRate54Mbps,655.478,3,160,800,30,10
11,OfdmRate54Mbps,707.803,3,160,800,30,10
12,OfdmRate54Mbps,737.225,3,160,800,30,10
13,OfdmRate54Mbps,786.27,3,160,800,30,10
0,OfdmRate6Mbps,6.30432,3,20,3200,30,10
1,OfdmRate12Mbps,12.846,3,20,3200,30,10
2,OfdmRate18Mbps,19.2959,3,20,3200,30,10
3,OfdmRate24Mbps,25.9909,3,20,3200,30,10
4,OfdmRate36Mbps,38.9342,3,20,3200,30,10
5,OfdmRate48Mbps,51.9506,3,20,3200,30,10
6,OfdmRate54Mbps,58.3932,3,20,3200,30,10
7,OfdmRate54Mbps,65.0034,3,20,3200,30,10
8,OfdmRate54Mbps,77.9842,3,20,3200,30,10
9,OfdmRate54Mbps,86.538,3,20,3200,30,10
10,OfdmRate54Mbps,96.8291,3,20,3200,30,10
11,OfdmRate54Mbps,106.767,3,20,3200,30,10
12,OfdmRate54Mbps,114.9,3,20,3200,30,10
13,OfdmRate54Mbps,127.002,3,20,3200,30,10
0,OfdmRate6Mbps,12.5928,3,40,3200,30,10
1,OfdmRate12Mbps,25.7488,3,40,3200,30,10
2,OfdmRate18Mbps,38.5762,3,40,3200,30,10
3,OfdmRate24Mbps,51.9506,3,40,3200,30,10
4,OfdmRate36Mbps,77.9842,3,40,3200,30,10
5,OfdmRate48Mbps,102.762,3,40,3200,30,10
6,OfdmRate54Mbps,114.9,3,40,3200,30,10
7,OfdmRate54Mbps,127.002,3,40,3200,30,10
8,OfdmRate54Mbps,150.455,3,40,3200,30,10
9,OfdmRate54Mbps,165.299,3,40,3200,30,10
10,OfdmRate54Mbps,184.525,3,40,3200,30,10
11,OfdmRate54Mbps,201.815,3,40,3200,30,10
12,OfdmRate54Mbps,216.295,3,40,3200,30,10
13,OfdmRate54Mbps,238.535,3,40,3200,30,10
0,OfdmRate6Mbps,26.3997,3,80,3200,30,10
1,OfdmRate12Mbps,53.756,3,80,3200,30,10
2,OfdmRate18Mbps,80.741,3,80,3200,30,10
3,OfdmRate24Mbps,107.527,3,80,3200,30,10
4,OfdmRate36Mbps,156.706,3,80,3200,30,10
5,OfdmRate48Mbps,203.177,3,80,3200,30,10
6,OfdmRate54Mbps,226.022,3,80,3200,30,10
7,OfdmRate54Mbps,248.358,3,80,3200,30,10
8,OfdmRate54Mbps,288.799,3,80,3200,30,10
9,OfdmRate54Mbps,316.05,3,80,3200,30,10
10,OfdmRate54Mbps,348.969,3,80,3200,30,10
11,OfdmRate54Mbps,379.74,3,80,3200,30,10
12,OfdmRate54Mbps,405.261,3,80,3200,30,10
13,OfdmRate54Mbps,440.808,3,80,3200,30,10
0,OfdmRate6Mbps,52.7541,3,160,3200,30,10
1,OfdmRate12Mbps,106.203,3,160,3200,30,10
2,OfdmRate18Mbps,154.108,3,160,3200,30,10
3,OfdmRate24Mbps,203.177,3,160,3200,30,10
4,OfdmRate36Mbps,288.799,3,160,3200,30,10
5,OfdmRate48Mbps,365.913,3,160,3200,30,10
6,OfdmRate54Mbps,405.261,3,160,3200,30,10
7,OfdmRate54Mbps,440.808,3,160,3200,30,10
8,OfdmRate54Mbps,499.199,3,160,3200,30,10
9,OfdmRate54Mbps,544.249,3,160,3200,30,10
10,OfdmRate54Mbps,586.608,3,160,3200,30,10
11,OfdmRate54Mbps,636.12,3,160,3200,30,10
12,OfdmRate54Mbps,664.142,3,160,3200,30,10
13,OfdmRate54Mbps,711.142,3,160,3200,30,10
