PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
30,1.247,150,5,160,3,1.5
30,1.248,150,5,160,3,1.5
30,1.249,150,5,160,3,1.5
30,1.25,150,5,160,3,1.5
30,1.251,150,5,160,3,1.5
30,1.252,150,5,160,3,1.5
40,1.253,150,5,160,3,1.5
40,1.254,150,5,160,3,1.5
40,1.255,150,5,160,3,1.5
40,1.256,150,5,160,3,1.5
40,1.257,150,5,160,3,1.5
30,1.258,150,5,160,3,1.5
30,1.259,150,5,160,3,1.5
30,1.26,150,5,160,3,1.5
30,1.261,150,5,160,3,1.5
30,1.262,150,5,160,3,1.5
30,1.263,150,5,160,3,1.5
40,1.264,150,5,160,3,1.5
40,1.265,150,5,160,3,1.5
40,1.266,150,5,160,3,1.5
40,1.267,150,5,160,3,1.5
40,1.268,150,5,160,3,1.5
30,1.269,150,5,160,3,1.5
30,1.27,150,5,160,3,1.5
30,1.271,150,5,160,3,1.5
30,1.272,150,5,160,3,1.5
30,1.273,150,5,160,3,1.5
30,1.274,150,5,160,3,1.5
30,1.275,150,5,160,3,1.5
30,1.276,150,5,160,3,1.5
30,1.277,150,5,160,3,1.5
40,1.278,150,5,160,3,1.5
40,1.279,150,5,160,3,1.5
40,1.28,150,5,160,3,1.5
40,1.281,150,5,160,3,1.5
40,1.282,150,5,160,3,1.5
40,1.283,150,5,160,3,1.5
40,1.284,150,5,160,3,1.5
40,1.285,150,5,160,3,1.5
40,1.286,150,5,160,3,1.5
40,1.287,150,5,160,3,1.5
40,1.288,150,5,160,3,1.5
40,1.289,150,5,160,3,1.5
40,1.29,150,5,160,3,1.5
40,1.291,150,5,160,3,1.5
40,1.292,150,5,160,3,1.5
40,1.293,150,5,160,3,1.5
40,1.294,150,5,160,3,1.5
40,1.295,150,5,160,3,1.5
40,1.296,150,5,160,3,1.5
40,1.297,150,5,160,3,1.5
29,1.298,150,5,160,3,1.5
31,1.299,150,5,160,3,1.5
31,1.3,150,5,160,3,1.5
31,1.301,150,5,160,3,1.5
31,1.302,150,5,160,3,1.5
31,1.303,150,5,160,3,1.5
31,1.304,150,5,160,3,1.5
31,1.305,150,5,160,3,1.5
31,1.306,150,5,160,3,1.5
31,1.307,150,5,160,3,1.5
31,1.308,150,5,160,3,1.5
31,1.309,150,5,160,3,1.5
31,1.31,150,5,160,3,1.5
31,1.311,150,5,160,3,1.5
31,1.312,150,5,160,3,1.5
31,1.313,150,5,160,3,1.5
31,1.314,150,5,160,3,1.5
31,1.315,150,5,160,3,1.5
31,1.316,150,5,160,3,1.5
31,1.317,150,5,160,3,1.5
31,1.318,150,5,160,3,1.5
31,1.319,150,5,160,3,1.5
31,1.32,150,5,160,3,1.5
31,1.321,150,5,160,3,1.5
31,1.322,150,5,160,3,1.5
31,1.323,150,5,160,3,1.5
31,1.324,150,5,160,3,1.5
31,1.325,150,5,160,3,1.5
31,1.326,150,5,160,3,1.5
31,1.327,150,5,160,3,1.5
31,1.328,150,5,160,3,1.5
31,1.329,150,5,160,3,1.5
31,1.33,150,5,160,3,1.5
31,1.331,150,5,160,3,1.5
31,1.332,150,5,160,3,1.5
31,1.333,150,5,160,3,1.5
31,1.334,150,5,160,3,1.5
31,1.335,150,5,160,3,1.5
31,1.336,150,5,160,3,1.5
31,1.337,150,5,160,3,1.5
31,1.338,150,5,160,3,1.5
31,1.339,150,5,160,3,1.5
31,1.34,150,5,160,3,1.5
31,1.341,150,5,160,3,1.5
31,1.342,150,5,160,3,1.5
31,1.343,150,5,160,3,1.5
31,1.344,150,5,160,3,1.5
31,1.345,150,5,160,3,1.5
31,1.346,150,5,160,3,1.5
31,1.347,150,5,160,3,1.5
31,1.348,150,5,160,3,1.5
31,1.349,150,5,160,3,1.5
31,1.35,150,5,160,3,1.5
31,1.351,150,5,160,3,1.5
31,1.352,150,5,160,3,1.5
31,1.353,150,5,160,3,1.5
31,1.354,150,5,160,3,1.5
31,1.355,150,5,160,3,1.5
31,1.356,150,5,160,3,1.5
31,1.357,150,5,160,3,1.5
31,1.358,150,5,160,3,1.5
31,1.359,150,5,160,3,1.5
31,1.36,150,5,160,3,1.5
31,1.361,150,5,160,3,1.5
31,1.362,150,5,160,3,1.5
31,1.363,150,5,160,3,1.5
31,1.364,150,5,160,3,1.5
31,1.365,150,5,160,3,1.5
31,1.366,150,5,160,3,1.5
31,1.367,150,5,160,3,1.5
31,1.368,150,5,160,3,1.5
31,1.369,150,5,160,3,1.5
31,1.37,150,5,160,3,1.5
31,1.371,150,5,160,3,1.5
31,1.372,150,5,160,3,1.5
31,1.373,150,5,160,3,1.5
31,1.374,150,5,160,3,1.5
31,1.375,150,5,160,3,1.5
31,1.376,150,5,160,3,1.5
31,1.377,150,5,160,3,1.5
31,1.378,150,5,160,3,1.5
31,1.379,150,5,160,3,1.5
31,1.38,150,5,160,3,1.5
31,1.381,150,5,160,3,1.5
31,1.382,150,5,160,3,1.5
31,1.383,150,5,160,3,1.5
31,1.384,150,5,160,3,1.5
31,1.385,150,5,160,3,1.5
31,1.386,150,5,160,3,1.5
31,1.387,150,5,160,3,1.5
31,1.388,150,5,160,3,1.5
31,1.389,150,5,160,3,1.5
31,1.39,150,5,160,3,1.5
31,1.391,150,5,160,3,1.5
31,1.392,150,5,160,3,1.5
31,1.393,150,5,160,3,1.5
31,1.394,150,5,160,3,1.5
31,1.395,150,5,160,3,1.5
31,1.396,150,5,160,3,1.5
31,1.397,150,5,160,3,1.5
31,1.398,150,5,160,3,1.5
31,1.399,150,5,160,3,1.5
31,1.4,150,5,160,3,1.5
31,1.401,150,5,160,3,1.5
31,1.402,150,5,160,3,1.5
31,1.403,150,5,160,3,1.5
31,1.404,150,5,160,3,1.5
31,1.405,150,5,160,3,1.5
31,1.406,150,5,160,3,1.5
31,1.407,150,5,160,3,1.5
31,1.408,150,5,160,3,1.5
31,1.409,150,5,160,3,1.5
31,1.41,150,5,160,3,1.5
31,1.411,150,5,160,3,1.5
31,1.412,150,5,160,3,1.5
31,1.413,150,5,160,3,1.5
31,1.414,150,5,160,3,1.5
31,1.415,150,5,160,3,1.5
31,1.416,150,5,160,3,1.5
31,1.417,150,5,160,3,1.5
31,1.418,150,5,160,3,1.5
31,1.419,150,5,160,3,1.5
31,1.42,150,5,160,3,1.5
31,1.421,150,5,160,3,1.5
31,1.422,150,5,160,3,1.5
31,1.423,150,5,160,3,1.5
31,1.424,150,5,160,3,1.5
31,1.425,150,5,160,3,1.5
31,1.426,150,5,160,3,1.5
31,1.427,150,5,160,3,1.5
31,1.428,150,5,160,3,1.5
31,1.429,150,5,160,3,1.5
31,1.43,150,5,160,3,1.5
31,1.431,150,5,160,3,1.5
31,1.432,150,5,160,3,1.5
31,1.433,150,5,160,3,1.5
31,1.434,150,5,160,3,1.5
31,1.435,150,5,160,3,1.5
31,1.436,150,5,160,3,1.5
31,1.437,150,5,160,3,1.5
31,1.438,150,5,160,3,1.5
31,1.439,150,5,160,3,1.5
31,1.44,150,5,160,3,1.5
31,1.441,150,5,160,3,1.5
31,1.442,150,5,160,3,1.5
31,1.443,150,5,160,3,1.5
31,1.444,150,5,160,3,1.5
31,1.445,150,5,160,3,1.5
31,1.446,150,5,160,3,1.5
31,1.447,150,5,160,3,1.5
31,1.448,150,5,160,3,1.5
31,1.449,150,5,160,3,1.5
31,1.45,150,5,160,3,1.5
31,1.451,150,5,160,3,1.5
31,1.452,150,5,160,3,1.5
31,1.453,150,5,160,3,1.5
31,1.454,150,5,160,3,1.5
31,1.455,150,5,160,3,1.5
31,1.456,150,5,160,3,1.5
31,1.457,150,5,160,3,1.5
31,1.458,150,5,160,3,1.5
31,1.459,150,5,160,3,1.5
31,1.46,150,5,160,3,1.5
31,1.461,150,5,160,3,1.5
31,1.462,150,5,160,3,1.5
31,1.463,150,5,160,3,1.5
31,1.464,150,5,160,3,1.5
31,1.465,150,5,160,3,1.5
31,1.466,150,5,160,3,1.5
31,1.467,150,5,160,3,1.5
31,1.468,150,5,160,3,1.5
31,1.469,150,5,160,3,1.5
31,1.47,150,5,160,3,1.5
31,1.471,150,5,160,3,1.5
31,1.472,150,5,160,3,1.5
31,1.473,150,5,160,3,1.5
31,1.474,150,5,160,3,1.5
31,1.475,150,5,160,3,1.5
31,1.476,150,5,160,3,1.5
31,1.477,150,5,160,3,1.5
31,1.478,150,5,160,3,1.5
31,1.479,150,5,160,3,1.5
31,1.48,150,5,160,3,1.5
31,1.481,150,5,160,3,1.5
31,1.482,150,5,160,3,1.5
31,1.483,150,5,160,3,1.5
31,1.484,150,5,160,3,1.5
31,1.485,150,5,160,3,1.5
31,1.486,150,5,160,3,1.5
31,1.487,150,5,160,3,1.5
31,1.488,150,5,160,3,1.5
31,1.489,150,5,160,3,1.5
31,1.49,150,5,160,3,1.5
31,1.491,150,5,160,3,1.5
27,1.492,150,5,160,3,1.5
33,1.493,150,5,160,3,1.5
33,1.494,150,5,160,3,1.5
33,1.495,150,5,160,3,1.5
33,1.496,150,5,160,3,1.5
33,1.497,150,5,160,3,1.5
37,1.498,150,5,160,3,1.5
37,1.499,150,5,160,3,1.5
37,1.5,150,5,160,3,1.5
