MCS,Mean_Throughput(Mbps),Distance(m),SimulationTime(s),Seed
8,0.0161647,45,20,6
8,0,50,20,6
8,0,55,20,6
8,0,60,20,6
8,0,65,20,6
8,0,70,20,6
8,0,75,20,6
8,0,80,20,6
8,0,85,20,6
8,0,90,20,6
8,0,95,20,6
8,0,100,20,6
9,628.515,0,20,6
9,628.487,5,20,6
9,352.893,10,20,6
9,0.0161647,15,20,6
9,0.0161647,20,20,6
9,0.0161647,25,20,6
9,0.0161647,30,20,6
9,0.0161647,35,20,6
9,0.0161647,40,20,6
9,0.0161647,45,20,6
9,0,50,20,6
9,0,55,20,6
9,0,60,20,6
9,0,65,20,6
9,0,70,20,6
9,0,75,20,6
9,0,80,20,6
9,0,85,20,6
9,0,90,20,6
9,0,95,20,6
9,0,100,20,6
10,677.353,0,20,6
10,663.391,5,20,6
10,0.0161647,10,20,6
10,0.0161647,15,20,6
10,0.0161647,20,20,6
10,0.0161647,25,20,6
10,0.0161647,30,20,6
10,0.0161647,35,20,6
10,0.0161647,40,20,6
10,0.0161647,45,20,6
10,0,50,20,6
10,0,55,20,6
10,0,60,20,6
10,0,65,20,6
10,0,70,20,6
10,0,75,20,6
10,0,80,20,6
10,0,85,20,6
10,0,90,20,6
10,0,95,20,6
10,0,100,20,6
11,734.399,0,20,6
11,0.0161647,5,20,6
11,0.0161647,10,20,6
11,0.0161647,15,20,6
11,0.0161647,20,20,6
11,0.0161647,25,20,6
11,0.0161647,30,20,6
11,0.0161647,35,20,6
11,0.0161647,40,20,6
11,0.0161647,45,20,6
11,0,50,20,6
11,0,55,20,6
11,0,60,20,6
11,0,65,20,6
11,0,70,20,6
11,0,75,20,6
11,0,80,20,6
11,0,85,20,6
11,0,90,20,6
11,0,95,20,6
11,0,100,20,6
