MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
9,0,100,20,3
10,677.482,0,20,3
10,663.067,5,20,3
10,0.0161647,10,20,3
10,0.0161647,15,20,3
10,0.0161647,20,20,3
10,0.0161647,25,20,3
10,0.0161647,30,20,3
10,0.0161647,35,20,3
10,0.0161647,40,20,3
10,0.0161647,45,20,3
10,0,50,20,3
10,0,55,20,3
10,0,60,20,3
10,0,65,20,3
10,0,70,20,3
10,0,75,20,3
10,0,80,20,3
10,0,85,20,3
10,0,90,20,3
10,0,95,20,3
10,0,100,20,3
11,734.534,0,20,3
11,0.0161647,5,20,3
11,0.0161647,10,20,3
11,0.0161647,15,20,3
11,0.0161647,20,20,3
11,0.0161647,25,20,3
11,0.0161647,30,20,3
11,0.0161647,35,20,3
11,0.0161647,40,20,3
11,0.0161647,45,20,3
11,0,50,20,3
11,0,55,20,3
11,0,60,20,3
11,0,65,20,3
11,0,70,20,3
11,0,75,20,3
11,0,80,20,3
11,0,85,20,3
11,0,90,20,3
11,0,95,20,3
11,0,100,20,3
