MCS,Mean_Goodput(Mbps),Distance(m),SimulationTime(s),Seed
7,490.055,0,20,1
7,490.055,5,20,1
7,490.055,10,20,1
7,0.0183815,15,20,1
7,0.0183815,20,20,1
7,0.0183815,25,20,1
7,0.0183815,30,20,1
7,0.0183815,35,20,1
7,0.0183815,40,20,1
7,0.0183815,45,20,1
7,0,50,20,1
7,0,55,20,1
7,0,60,20,1
7,0,65,20,1
7,0,70,20,1
7,0,75,20,1
7,0,80,20,1
7,0,85,20,1
7,0,90,20,1
7,0,95,20,1
7,0,100,20,1
8,552.18,0,20,1
8,552.18,5,20,1
8,552.18,10,20,1
8,0.0183815,15,20,1
8,0.0183815,20,20,1
8,0.0183815,25,20,1
8,0.0183815,30,20,1
8,0.0183815,35,20,1
8,0.0183815,40,20,1
8,0.0183815,45,20,1
8,0,50,20,1
8,0,55,20,1
8,0,60,20,1
8,0,65,20,1
8,0,70,20,1
8,0,75,20,1
8,0,80,20,1
8,0,85,20,1
8,0,90,20,1
8,0,95,20,1
8,0,100,20,1
9,599.673,0,20,1
9,599.673,5,20,1
9,0.0183815,10,20,1
9,0.0183815,15,20,1
9,0.0183815,20,20,1
9,0.0183815,25,20,1
9,0.0183815,30,20,1
9,0.0183815,35,20,1
9,0.0183815,40,20,1
9,0.0183815,45,20,1
9,0,50,20,1
9,0,55,20,1
9,0,60,20,1
9,0,65,20,1
9,0,70,20,1
9,0,75,20,1
9,0,80,20,1
9,0,85,20,1
9,0,90,20,1
9,0,95,20,1
9,0,100,20,1
10,643.985,0,20,1
10,643.985,5,20,1
10,0.0183815,10,20,1
10,0.0183815,15,20,1
10,0.0183815,20,20,1
10,0.0183815,25,20,1
10,0.0183815,30,20,1
10,0.0183815,35,20,1
10,0.0183815,40,20,1
10,0.0183815,45,20,1
10,0,50,20,1
10,0,55,20,1
10,0,60,20,1
10,0,65,20,1
10,0,70,20,1
10,0,75,20,1
10,0,80,20,1
10,0,85,20,1
10,0,90,20,1
10,0,95,20,1
10,0,100,20,1
11,695.384,0,20,1
11,0.0183815,5,20,1
11,0.0183815,10,20,1
11,0.0183815,15,20,1
11,0.0183815,20,20,1
11,0.0183815,25,20,1
11,0.0183815,30,20,1
11,0.0183815,35,20,1
11,0.0183815,40,20,1
11,0.0183815,45,20,1
11,0,50,20,1
11,0,55,20,1
11,0,60,20,1
11,0,65,20,1
11,0,70,20,1
11,0,75,20,1
11,0,80,20,1
11,0,85,20,1
11,0,90,20,1
11,0,95,20,1
11,0,100,20,1
12,724.291,0,20,1
12,0.0183815,5,20,1
12,0.0183815,10,20,1
12,0.0183815,15,20,1
12,0.0183815,20,20,1
12,0.0183815,25,20,1
12,0.0183815,30,20,1
12,0.0183815,35,20,1
12,0.0183815,40,20,1
12,0.0183815,45,20,1
12,0,50,20,1
12,0,55,20,1
12,0,60,20,1
12,0,65,20,1
12,0,70,20,1
12,0,75,20,1
12,0,80,20,1
12,0,85,20,1
12,0,90,20,1
12,0,95,20,1
12,0,100,20,1
13,772.473,0,20,1
13,0.0183815,5,20,1
13,0.0183815,10,20,1
13,0.0183815,15,20,1
13,0.0183815,20,20,1
13,0.0183815,25,20,1
13,0.0183815,30,20,1
13,0.0183815,35,20,1
13,0.0183815,40,20,1
13,0.0183815,45,20,1
13,0,50,20,1
13,0,55,20,1
13,0,60,20,1
13,0,65,20,1
13,0,70,20,1
13,0,75,20,1
13,0,80,20,1
13,0,85,20,1
13,0,90,20,1
13,0,95,20,1
13,0,100,20,1
